"Trait","Global_Frequency","Africa_Frequency","Trait_New"
"Leaf area (in case of compound leaves undefined if leaf or leaflet, undefined if petiole is in- or excluded)",53541,2731,"LA(undefined)"
"Leaf area (in case of compound leaves: leaf, petiole excluded)",40084,4874,"LA(leaf, petiole ex)"
"Leaf area (in case of compound leaves: leaf, petiole included)",49542,3776,"LA(leaf, petiole in)"
"Leaf area (in case of compound leaves: leaf, undefined if petiole in- or excluded)",19365,1007,"LA(leaf, petiole undefined)"
"Leaf area (in case of compound leaves: leaflet, petiole excluded)",53102,2396,"LA(leaflet, petiole ex)"
"Leaf area (in case of compound leaves: leaflet, petiole included)",12380,4,"LA(leaflet, petiole in)"
"Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)",22495,1637,"LA(leaflet, petiole undefined)"
"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA) petiole, rhachis and midrib excluded",1788,NA,"SLA(petiole, rhachis, midrib ex)"
"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",58473,4782,"SLA(petiole ex)"
"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included",78219,5821,"SLA(petiole in)"
"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded",161057,6378,"SLA(petiole undefined)"
"Leaf lifespan (longevity)",2706,2,"LLS"
"Leaf nitrogen (N) content per leaf",1674,157,"Leaf(N)"
"Leaf nitrogen (N) content per leaf dry mass",88890,6319,"Leaf (Nmass)"
"Photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model)",8074,1612,"Vcmax/LA"
"Photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model)",5596,1213,"Vcmax/LMA"
"Root rooting depth",4938,536,"Root rooting depth"
